燕舞，燕舞，一曲歌来一片情。 　　 ： 燕舞收录机
康师傅方便面，好吃看得见。 　　 ： 康师傅
不要太潇洒！ 　　 ： 杉杉西服
让一亿人先聪明起来。 　　 ： 巨人脑黄金
共创美的前程，共度美的人生。 　　 ： 美的电器
省优，部优，葛优？ 　　 ： 双汇火腿肠
喝孔府宴酒，做天下文章。 　　 ： 孔府宴酒
健康成就未来。 　　 ： 海王
牙好，胃口就好，身体倍儿棒，吃嘛嘛香。 　　 ： 蓝天六必治
永远的绿色，永远的秦池。 　　 ： 秦池酒
坐红旗车，走中国路。 　　 ： 红旗轿车
要想皮肤好，早晚用大宝。 　　 ： 大宝
孔府家酒，叫人想家。 　　 ： 孔府家酒
补钙新观念，吸收是要害。 　　 ： 龙牡壮骨冲剂
喝汇源果汁，走健康之路。 　　 ： 汇源果汁
爱的就是你! 　　 ： 娃哈哈
一种可以世袭的古典浪漫 　　 ： 房产
实力创造价值 　　 ： CCTV
爱生活，爱拉芳！ 　　 ： 拉芳
人类失去联想，世界将会怎样？ 　　 ： 联想
做女人挺好！ 　　 ： 丰胸
世界在你眼中？ 　　 ： 新浪网
今天你有否亿唐？ 　　 ： 亿唐网
只溶在口，不溶在手。 　　 ： m&m巧克力
三千烦恼丝，健康新开始。 　　 ： 潘婷洗发水
维维豆奶，欢乐开怀。 　　 ： 维维豆奶
我们的光彩来自你的风采。 　　 ： 沙宣洗发水
钻石恒久远，一颗永流传。 　　 ： 钻石戒指
放我的真心在你的手心。 　　 ： 美加净护手霜
小身材，大味道。 　　 ： Kisses巧克力
牛奶香浓，丝般感受。 　　 ： 德芙巧克力
聆听并不代表沉默，有时安静也是一种力量。 　　 ： 铂金手饰
滴滴香浓，意犹未尽。 　　 ： 雀巢咖啡
水晶之恋，一生不变。 　　 ： 果冻 喜之郎
中国移动通信，沟通从心开始！ 　　 ： 中国移动通信
网易，网聚人的力量！ 　　 ： 网易
科技以人为本，诺基亚 　　 ：诺基亚
我们一直在努力！ 　　 ： 爱多
阳光总在风雨后 　　 ： 千禧酒
男人对西服的要求，就是女人对男人的要求 　　 ： 西服
晚报，不晚报 北京晚报 　　 ： 北京晚报
原来生活可以更美的 　　 ： 美的空调
明天的明天，你还会送我“水晶之恋”吗？ 　　 ：水晶之恋果冻
卫浴出出进进的快感 　　 ： 卫浴
有家就有联合利华 　　 ： 联合利华
减脂减肥，其实是一种生活态度 　　 ： 朵耳
人头马一开，好事自然来。 　　 ： 香港人头马
假如五指一样长，怎能满足用户不同需求？ 　　 ： 远东电缆
新飞广告做的好，不好新飞冰箱好 　　 ： 新飞冰箱
传奇品质，百年张裕 　　 ： 张裕
李宁：把出色留给自己 　　 ： 李宁
一旦拥有，别无选择 　　 ： 飞亚达
科技让你更轻松 　　 ： 商务通
情系中国结，联通四海心 　　 ： 联通
海尔，中国造 　　 ： 海尔
SOHU：足迹生活每一天 　　 ： SOHU
果冻我要喜之郎 　　 ： 喜之郎
国宝大熊猫，心纯天自高 　　 ： 熊猫
世界因为不同 　　 ： MOTO
放低偏见，你会有出色发现！ 　　 ： 柯尼卡
Just do it 　　 ： nike
